"_5_digit_ntd_id","max_agency","max_reporter_type","max_organization_type","report_year","max_city","max_state","max_agency_voms","mode","max_mode_name","type_of_service","max_mode_voms","max_primary_uza_code","max_primary_uza_name","max_primary_uza_area_sq_miles","max_primary_uza_population","max_service_area_sq_miles","max_service_area_population","questionable_record","max_time_period","min_time_service_begins","max_time_service_ends","sum_actual_vehicles_passenger_car_miles","sum_actual_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_deadhead_miles","sum_scheduled_vehicles_passenger_car_revenue_miles","sum_actual_vehicles_passenger_car_hours","sum_actual_vehicles_passenger_car_revenue_hours","sum_actual_vehicles_passenger_car_deadhead_hours","sum_charter_service_hours","sum_school_bus_hours","sum_trains_in_operation","sum_train_miles","sum_train_revenue_miles","sum_train_deadhead_miles","sum_train_hours","sum_train_revenue_hours","sum_train_deadhead_hours","sum_unlinked_passenger_trips_upt","sum_ada_upt","sum_sponsored_service_upt","sum_passenger_miles","sum_directional_route_miles","sum_days_of_service_operated","sum_days_not_operated_strikes","sum_days_not_operated_emergencies"
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Spokane","WA","300","MB","Bus","DO","129","83764","Spokane, WA","171.67","447279","248","471169","","Annual Total",,,"7513381","6824002","689379","6835497","524700","494282","30418",,,"0","0","0",,"0","0",,"8947157",,,"40386159","0",,,
"00002","Spokane Transit Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Spokane","WA","300","VP","Vanpool","DO","80","83764","Spokane, WA","171.67","447279","248","471169","","Annual Total",,,"1016131","1016131","0","0","28536","28536","0",,,"0","0","0",,"0","0",,"95655",,,"2933369","0",,,
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Lakewood","WA","430","DR","Demand Response","DO","17","80389","Seattle--Tacoma, WA","982.52","3544011","292","575963","","Annual Total",,,"329374","287743","41631","0","23852","20994","2858","0","0","0","0","0",,"0","0",,"41887","36517","0","310358","0",,,
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Lakewood","WA","430","DR","Demand Response","PT","62","80389","Seattle--Tacoma, WA","982.52","3544011","292","575963","","Annual Total",,,"2084847","1807533","277314","0","152219","132763","19456",,,"0","0","0",,"0","0",,"236511","193238",,"1821091","0",,,
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Lakewood","WA","430","MB","Bus","DO","126","80389","Seattle--Tacoma, WA","982.52","3544011","292","575963","Y","Annual Total",,,"4966660","4371847","594813","4302315","424552","387392","37160","0","0","0","0","0",,"0","0",,"6101806",,,"26326548","11.06",,,
"00003","Pierce County Transportation Benefit Area Authority, dba: Pierce Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Lakewood","WA","430","VP","Vanpool","DO","225","80389","Seattle--Tacoma, WA","982.52","3544011","292","575963","","Annual Total",,,"3421086","3421086","0","0","102663","102663","0",,,"0","0","0",,"0","0",,"412041",,,"11904323","0",,,
"00004","Confederated Tribes of the Colville Indian Reservation","Reduced Reporter","Tribe","2023","Nespelem","WA","5","FB","Ferryboat","DO","1","00053","Washington Non-UZA","0","1895776",,,"","Annual Total",,,"0","19992","0","0","0","5362","0",,,"0","0","0",,"0","0",,"130971",,,"0","0",,,
"00004","Confederated Tribes of the Colville Indian Reservation","Reduced Reporter","Tribe","2023","Nespelem","WA","5","MB","Bus","DO","4","00053","Washington Non-UZA","0","1895776",,,"","Annual Total",,,"0","64904","0","0","0","1824","0",,,"0","0","0",,"0","0",,"2747",,,"0","0",,,
"00005","City of Everett, dba: Everett Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Everett","WA","50","DR","Demand Response","DO","18","80389","Seattle--Tacoma, WA","982.52","3544011","34","110629","","Annual Total",,,"411324","366516","44808","0","34778","32043","2735",,,"0","0","0",,"0","0",,"75085","65299",,"390242","0",,,
"00005","City of Everett, dba: Everett Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Everett","WA","50","MB","Bus","DO","32","80389","Seattle--Tacoma, WA","982.52","3544011","34","110629","","Annual Total",,,"1360585","1195863","164722","1196699","107953","100706","7247","0","0","0","0","0",,"0","0",,"1329885",,,"4803479","0",,,
"00006","City of Yakima, dba: Yakima Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Yakima","WA","42","CB","Commuter Bus","PT","2","97507","Yakima, WA","55.77","133145","33","100716","","Annual Total",,,"150716","148663","2053","152715","4894","4719","175","0","0","0","0","0",,"0","0",,"25992",,,"857216","0",,,
"00006","City of Yakima, dba: Yakima Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Yakima","WA","42","DR","Demand Response","PT","22","97507","Yakima, WA","55.77","133145","33","100716","","Annual Total",,,"323057","303614","19443","0","34681","32951","1730","0","0","0","0","0",,"0","0",,"46137","46137","0","162905","0",,,
"00006","City of Yakima, dba: Yakima Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Yakima","WA","42","MB","Bus","DO","18","97507","Yakima, WA","55.77","133145","33","100716","Y","Annual Total",,,"760938","738964","21974","753510","57446","56088","1358","0","0","0","0","0",,"0","0",,"574582",,,"2415244","0",,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Eugene","OR","132","DR","Demand Response","PT","21","28117","Eugene, OR","73.49","270179","482","317600","","Annual Total",,,"690401","604764","85637","0","55028","45354","9674",,,"0","0","0",,"0","0",,"95218","80851",,"622623","0",,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Eugene","OR","132","DR","Demand Response","TX","34","28117","Eugene, OR","73.49","270179","482","317600","","Annual Total",,,"0","2043085","0","0","0","82987","0",,,"0","0","0",,"0","0",,"233468",,"233468","2407913","0",,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Eugene","OR","132","MB","Bus","DO","57","28117","Eugene, OR","73.49","270179","482","317600","","Annual Total",,,"2322114","2109325","212789","2146688","182279","169850","12429",,,"0","0","0",,"0","0",,"3405660",,,"12630111","0",,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Eugene","OR","132","MB","Bus","PT","2","28117","Eugene, OR","73.49","270179","482","317600","","Annual Total",,,"113123","111189","1934","111778","5168","5095","73",,,"0","0","0",,"0","0",,"13050",,,"324203","0",,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Eugene","OR","132","RB","Bus Rapid Transit","DO","13","28117","Eugene, OR","73.49","270179","482","317600","","Annual Total",,,"711342","688393","22949","690406","61813","60618","1195",,,"0","0","0",,"0","0",,"2554326",,,"6304956","28.02",,,
"00007","Lane Transit District","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Eugene","OR","132","VP","Vanpool","PT","5","28117","Eugene, OR","73.49","270179","482","317600","","Annual Total",,,"112539","112539","0","0","2143","2143","0",,,"0","0","0",,"0","0",,"9891",,,"490146","0",,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Portland","OR","717","DR","Demand Response","PT","138","71317","Portland, OR--WA","519.3","2104238","378","1526171","","Annual Total",,,"4617640","4034878","582762","0","334671","298487","36184","0","0","0","0","0",,"0","0",,"480730","477405","0","3847851","0",,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Portland","OR","717","DR","Demand Response","TN","10","71317","Portland, OR--WA","519.3","2104238","378","1526171","","Annual Total",,,"0","43042","0","0","0","1459","0",,,"0","0","0",,"0","0",,"2636","2607","0","45438","0",,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Portland","OR","717","DR","Demand Response","TX","28","71317","Portland, OR--WA","519.3","2104238","378","1526171","","Annual Total",,,"0","528774","0","0","0","23567","0",,,"0","0","0",,"0","0",,"56165","55715","0","562665","0",,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Portland","OR","717","LR","Light Rail","DO","94","71317","Portland, OR--WA","519.3","2104238","378","1526171","","Annual Total",,,"8053659","8004842","48817","8249669","582766","576746","6020",,,"0","4027251","4002841","24410","291410","288400","3010","21815521",,,"112827685","118.91",,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Portland","OR","717","MB","Bus","DO","443","71317","Portland, OR--WA","519.3","2104238","378","1526171","","Annual Total",,,"22427785","19427426","3000359","19502105","1889504","1765984","123520","0","0","0","0","0",,"0","0",,"34970137",,,"113234575","8.09",,,
"00008","Tri-County Metropolitan Transportation District of Oregon, dba: TriMet","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Portland","OR","717","YR","Hybrid Rail","PT","4","71317","Portland, OR--WA","519.3","2104238","378","1526171","","Annual Total",,,"95094","93759","1335","93846","5223","4599","624",,,"0","74412","73312","1100","4095","3591","504","117461",,,"912166","29.22","0","0","0"
"00009","Kalispel Tribe of Indians","Reduced Reporter","Tribe","2023","Cusick","WA","0","MB","Bus","DO","0","00053","Washington Non-UZA","0","1895776",,,"","Annual Total",,,"0","0","0","0","0","0","0",,,"0","0","0",,"0","0",,"0",,,"0","0",,,
"00010","Klamath Tribes, dba: Quail Trail","Reduced Reporter","Tribe","2023","Chiloquin","OR","7","CB","Commuter Bus","DO","2","00041","Oregon Non-UZA","0","1553447","0","0","","Annual Total",,,"0","85120","0","0","0","3704","0",,,"0","0","0",,"0","0",,"8405",,,"0","0",,,
"00010","Klamath Tribes, dba: Quail Trail","Reduced Reporter","Tribe","2023","Chiloquin","OR","7","DR","Demand Response","DO","5","00041","Oregon Non-UZA","0","1553447","0","0","","Annual Total",,,"0","79952","0","0","0","3189","0",,,"0","0","0",,"0","0",,"2564",,"0","0","0",,,
"00011","Valley Regional Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Meridian","ID","77","DR","Demand Response","DO","4","08785","Boise City, ID","139.23","433180","66","763140","","Annual Total",,,"59378","46413","12965","0","4882","3468","1414","0","0","0","0","0",,"0","0",,"6477","0","0","40809","0",,,
"00011","Valley Regional Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Meridian","ID","77","DR","Demand Response","PT","35","08785","Boise City, ID","139.23","433180","66","763140","","Annual Total",,,"720392","611336","109056","0","51268","43226","8042","0","0","0","0","0",,"0","0",,"100505","34492","0","540793","0",,,
"00011","Valley Regional Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Meridian","ID","77","MB","Bus","PT","38","08785","Boise City, ID","139.23","433180","66","763140","","Annual Total",,,"1536291","1352129","184162","1380496","92567","81645","10922","0","0","0","0","0",,"0","0",,"989216",,,"3897062","0",,,
"00012","Municipality of Anchorage","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Anchorage","AK","181","DR","Demand Response","PT","40","02305","Anchorage, AK","91.69","249252","77","291247","","Annual Total",,,"957265","842374","114891","0","84252","67527","16725",,,"0","0","0",,"0","0",,"153737","60574",,"998596","0",,,
"00012","Municipality of Anchorage","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Anchorage","AK","181","MB","Bus","DO","47","02305","Anchorage, AK","91.69","249252","77","291247","","Annual Total",,,"2443665","2278774","164891","2287510","199282","190316","8966",,,"0","0","0",,"0","0",,"2745046",,,"10797599","0",,,
"00012","Municipality of Anchorage","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Anchorage","AK","181","VP","Vanpool","PT","94","02305","Anchorage, AK","91.69","249252","77","291247","","Annual Total",,,"1899042","1899042","0","0","39771","39771","0",,,"0","0","0",,"0","0",,"219094",,,"8795173","0",,,
"00014","Sitka Tribe of Alaska","Reduced Reporter","Tribe","2023","Sitka","AK","3","MB","Bus","DO","3","00002","Alaska Non-UZA","0","359299","0","0","","Annual Total",,,"0","102199","0","0","0","7224","0",,,"0","0","0",,"0","0",,"56698",,,"0","0",,,
"00015","Snoqualmie Indian Tribe, dba: Snoqualmie Valley Transportation","Reduced Reporter","Tribe","2023","Snoqualmie","WA","2","DR","Demand Response","DO","2","00053","Washington Non-UZA","0","1895776",,,"","Annual Total",,,"0","14919","0","0","0","754","0",,,"0","0","0",,"0","0",,"332",,"113","0","0",,,
"00016","City of Longview, dba: RiverCities Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Longview","WA","21","CB","Commuter Bus","DO","1","51283","Longview, WA--OR","35.19","69841","31","61598","","Annual Total",,,"6894","6700","194","6912","230","199","31","0","0","0","0","0",,"0","0",,"310",,,"3720","0",,,
"00016","City of Longview, dba: RiverCities Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Longview","WA","21","DR","Demand Response","PT","10","51283","Longview, WA--OR","35.19","69841","31","61598","","Annual Total",,,"143371","129018","14353","0","16311","14802","1509","0","0","0","0","0",,"0","0",,"32057","32057","0","103015","0",,,
"00016","City of Longview, dba: RiverCities Transit","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Longview","WA","21","MB","Bus","DO","10","51283","Longview, WA--OR","35.19","69841","31","61598","","Annual Total",,,"368165","357130","11035","352940","29148","28056","1092","0","0","0","0","0",,"0","0",,"242437",,,"933382","0",,,
"00017","Stillaguamish Tribe of Indians, dba: Stillaguamish Tribal Transportation Services","Reduced Reporter","Tribe","2023","Arlington","WA","5","DR","Demand Response","DO","5","00053","Washington Non-UZA","0","1895776",,,"","Annual Total",,,"0","33227","0","0","0","972","0",,,"0","0","0",,"0","0",,"4459",,"1579","0","0",,,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Richland","WA","273","DR","Demand Response","DO","62","44479","Kennewick--Richland--Pasco, WA","112.21","255401","616","307750","","Annual Total",,,"1926704","1704662","222042","0","112108","101933","10175",,,"0","0","0",,"0","0",,"234982","193658",,"1870067","0",,,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Richland","WA","273","DR","Demand Response","PT","37","44479","Kennewick--Richland--Pasco, WA","112.21","255401","616","307750","","Annual Total",,,"1327222","1151046","176176","0","70732","58310","12422",,,"0","0","0",,"0","0",,"189542","51770","0","664586","0",,,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Richland","WA","273","MB","Bus","DO","51","44479","Kennewick--Richland--Pasco, WA","112.21","255401","616","307750","","Annual Total",,,"3686572","3513119","173453","3801073","227229","220095","7134",,,"0","0","0",,"0","0",,"2447715",,,"11225436","0",,,
"00018","Ben Franklin Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Richland","WA","273","VP","Vanpool","DO","123","44479","Kennewick--Richland--Pasco, WA","112.21","255401","616","307750","","Annual Total",,,"1828042","1828042","0","0","40936","40936","0",,,"0","0","0",,"0","0",,"306138",,,"10565293","0",,,
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Olympia","WA","230","CB","Commuter Bus","DO","4","65242","Olympia--Lacey, WA","106.21","208157","101","200200","","Annual Total",,,"248999","244994","4005","249547","10800","10481","319","0","0","0","0","0",,"0","0",,"113439",,,"1961796","0",,,
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Olympia","WA","230","DR","Demand Response","DO","46","65242","Olympia--Lacey, WA","106.21","208157","101","200200","","Annual Total",,,"959305","851048","108257","0","97899","82759","15140","0","0","0","0","0",,"0","0",,"137303","137045","0","750278","0",,,
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Olympia","WA","230","MB","Bus","DO","47","65242","Olympia--Lacey, WA","106.21","208157","101","200200","","Annual Total",,,"2950736","2868976","81760","2950993","211940","206698","5242","0","0","0","0","0",,"0","0",,"3449951",,,"13766600","0",,,
"00019","Intercity Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Olympia","WA","230","VP","Vanpool","DO","133","65242","Olympia--Lacey, WA","106.21","208157","101","200200","","Annual Total",,,"2604976","2604976","0","0","70122","70122","0",,,"0","0","0",,"0","0",,"198302",,,"8049436","0",,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Bremerton","WA","222","DR","Demand Response","DO","66","09946","Bremerton, WA","146.91","224449","396","254183","","Annual Total",,,"1407016","1273013","134003","0","91761","81825","9936",,,"0","0","0",,"0","0",,"250804","209344",,"1507150","0",,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Bremerton","WA","222","DR","Demand Response","TX","2","09946","Bremerton, WA","146.91","224449","396","254183","","Annual Total",,,"0","55601","0","0","0","3040","0",,,"0","0","0",,"0","0",,"2775","2775","0","62073","0",,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Bremerton","WA","222","FB","Ferryboat","DO","6","09946","Bremerton, WA","146.91","224449","396","254183","","Annual Total",,,"328050","312823","15227","321260","18985","18179","806","0",,"0","0","0",,"0","0",,"1092230",,,"12008216","98.94",,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Bremerton","WA","222","MB","Bus","DO","100","09946","Bremerton, WA","146.91","224449","396","254183","","Annual Total",,,"2616373","2212491","403882","2208207","134693","113849","20844",,,"0","0","0",,"0","0",,"1313942",,,"8504523","0",,,
"00020","Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Bremerton","WA","222","VP","Vanpool","DO","48","09946","Bremerton, WA","146.91","224449","396","254183","","Annual Total",,,"534730","534730","0","0","17835","17835","0",,,"0","0","0",,"0","0",,"79380",,,"2012472","0",,,
"00021","Whatcom Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Bellingham","WA","99","DR","Demand Response","DO","40","06652","Bellingham, WA","50.13","128979","776","235629","","Annual Total",,,"1020229","882744","137485","0","71194","62613","8581","0","0","0","0","0",,"0","0",,"189173","171925","0","999727","0",,,
"00021","Whatcom Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Bellingham","WA","99","MB","Bus","DO","48","06652","Bellingham, WA","50.13","128979","776","235629","","Annual Total",,,"2271630","2120805","150825","2121744","164194","155815","8379","0","0","0","0","0",,"0","0",,"3510911",,,"10032081","0",,,
"00021","Whatcom Transportation Authority","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Bellingham","WA","99","VP","Vanpool","DO","11","06652","Bellingham, WA","50.13","128979","776","235629","","Annual Total",,,"152252","152252","0","0","2791","2791","0","0","0","0","0","0",,"0","0",,"24612",,,"889918","0",,,
"00022","City of Pocatello, dba: Pocatello Regional Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","2023","Pocatello","ID","24","DR","Demand Response","DO","13","70426","Pocatello, ID","27.46","72211","5460","175045","","Annual Total",,,"0","344731","0","0","0","18833","0",,,"0","0","0",,"0","0",,"66856",,"24381","0","0",,,
"00022","City of Pocatello, dba: Pocatello Regional Transit","Reduced Reporter","City, County or Local Government Unit or Department of Transportation","2023","Pocatello","ID","24","MB","Bus","DO","11","70426","Pocatello, ID","27.46","72211","5460","175045","","Annual Total",,,"0","254009","0","0","0","16908","0",,,"0","0","0",,"0","0",,"122320",,,"0","0",,,
"00023","City of Seattle, dba: Seattle Center Monorail","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Seattle","WA","8","MG","Monorail/Automated Guideway","PT","8","80389","Seattle--Tacoma, WA","982.52","3544011","83","753655","","Annual Total",,,"227127","227127","0","227127","21272","21272","0",,,"0","56782","56782","0","5409","5409","0","2134977",,,"1921479","1.8",,,
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Vancouver","WA","161","DR","Demand Response","DO","51","71317","Portland, OR--WA","519.3","2104238","143","451875","","Annual Total",,,"1887463","1698363","189100","0","108986","98026","10960","0","0","0","0","0",,"0","0",,"251635","222525","0","1849735","0",,,
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Vancouver","WA","161","MB","Bus","DO","95","71317","Portland, OR--WA","519.3","2104238","143","451875","","Annual Total",,,"4369649","3864726","504923","3917179","290448","269239","21209","0","0","0","0","0",,"0","0",,"4218801",,,"17290035","3.35",,,
"00024","Clark County Public Transportation Benefit Area Authority, dba: C-TRAN","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Vancouver","WA","161","VP","Vanpool","DO","15","71317","Portland, OR--WA","519.3","2104238","143","451875","","Annual Total",,,"178901","178901","0","0","5097","5097","0","0","0","0","0","0",,"0","0",,"21870",,,"481691","0",,,
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Salem","OR","150","DR","Demand Response","PT","31","78229","Salem, OR","72.68","268331","68","230118","","Annual Total",,,"594371","533538","60833","0","49123","40823","8300",,,"0","0","0",,"0","0",,"84798","77379","7419","501824","0",,,
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Salem","OR","150","MB","Bus","DO","53","78229","Salem, OR","72.68","268331","68","230118","","Annual Total",,,"2553489","2382460","171029","2537030","201423","194433","6990","0","0","0","0","0",,"0","0",,"2762649",,,"7138072","0",,,
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Salem","OR","150","MB","Bus","PT","13","78229","Salem, OR","72.68","268331","68","230118","","Annual Total",,,"575525","511166","64359","514276","28564","24053","4511","0","0","0","0","0",,"0","0",,"84987",,,"1164409","0",,,
"00025","Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Salem","OR","150","VP","Vanpool","PT","53","78229","Salem, OR","72.68","268331","68","230118","","Annual Total",,,"538867","538867","0","0","12887","12887","0","0","0","0","0","0",,"0","0",,"94821",,,"2441828","0",,,
"00028","County of Pierce, dba: Pierce County Ferry","Full Reporter","City, County or Local Government Unit or Department of Transportation","2023","Tacoma","WA","2","FB","Ferryboat","PT","2","80389","Seattle--Tacoma, WA","982.52","3544011","233","925708","","Annual Total",,,"44755","44755","0","45404","5285","5285","0","0",,"0","0","0",,"0","0",,"446539",,,"1762277","8.62",,,
"00029","Snohomish County Public Transportation Benefit Area Corporation, dba: Community Transit","Full Reporter","Independent Public Agency or Authority of Transit Service","2023","Everett","WA","497","CB","Commuter Bus","DO","24","80389","Seattle--Tacoma, WA","982.52","3544011","255","910144","","Annual Total",,,"1060895","572046","488849","567094","42593","26227","16366","0","0","0","0","0",,"0","0",,"333356",,,"5415012","60.4",,,
