"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"19","0050059A","36","25","21","1","1252","0","0","0","0","0","0","0","0","0","1054","0","0","0","0","0","0","0","0","0","0","0","239","0","0","0","0","759","0","260","0","760","3","305","0","14","1","722","719","287","827","205","822","200","733","298","811","223","702","304","473","537","833","190","301","720","812","203","652","361","801","199","0","260","0","0","744"
"19","0050063A","36","25","21","1","2089","0","0","0","0","0","0","0","0","0","1771","0","0","0","0","0","0","0","0","0","0","0","403","0","0","0","0","1293","0","440","0","1274","3","509","5","22","0","1217","1164","496","1362","348","1365","331","1217","489","1365","345","1085","593","813","875","1327","346","514","1182","1322","355","966","701","1282","387","0","457","0","0","1244"
"19","0070006A","50","33","27","3","2153","0","0","0","0","0","0","0","0","0","1878","0","0","0","0","0","0","0","0","0","0","0","959","362","0","0","0","0","0","1100","0","590","6","1231","7","28","2","575","900","851","990","796","976","765","621","1132","872","900","913","817","1164","552","1051","689","750","1016","1144","590","742","987","920","793","0","1099","0","0","574"
"19","0070008A","45","30","27","3","1041","0","0","0","0","0","0","0","0","0","907","0","0","0","0","0","0","0","0","0","0","0","390","0","0","0","0","392","0","433","0","375","2","501","0","4","1","386","412","403","565","286","576","270","409","440","517","342","470","360","451","370","623","218","244","602","577","255","407","411","520","301","0","414","0","0","385"
"19","0070041A","50","33","27","3","1429","0","0","0","0","0","0","0","0","0","1253","0","0","0","0","0","0","0","0","0","0","0","564","262","0","0","0","0","0","625","0","524","2","696","6","19","2","503","687","473","755","446","761","423","558","638","709","490","698","476","710","453","806","375","474","710","834","331","583","589","709","465","0","631","0","0","520"
"19","0080001A","50","33","27","3","2556","0","0","0","0","0","0","0","0","0","2347","0","0","0","0","0","0","0","0","0","0","0","1229","360","0","0","0","0","0","1295","0","815","3","1493","6","24","1","785","1165","1015","1297","951","1422","793","971","1254","1303","936","1176","1021","1348","842","1447","748","907","1319","1557","642","997","1190","1238","946","0","1320","0","0","786"
"19","0080012A","50","33","27","3","2807","0","0","0","0","0","0","0","0","0","2553","0","0","0","0","0","0","0","0","0","0","0","1354","428","0","0","0","0","0","1377","0","929","6","1590","5","21","2","880","1289","1115","1507","952","1591","841","1149","1301","1388","1074","1324","1101","1422","975","1681","742","869","1580","1769","636","1153","1248","1416","976","0","1394","0","0","911"
"19","0080043A","50","33","27","3","2839","0","0","0","0","0","0","0","0","0","2434","0","0","0","0","0","0","0","0","0","0","0","1189","481","0","0","0","0","0","1296","0","898","3","1440","7","29","6","903","1216","1040","1304","1018","1447","836","1018","1297","1331","994","1213","1056","1428","835","1423","848","873","1424","1551","709","1033","1235","1340","903","0","1337","0","0","867"
"19","0080047A","50","33","27","3","1932","0","0","0","0","0","0","0","0","0","1687","0","0","0","0","0","0","0","0","0","0","0","907","291","0","0","0","0","0","962","0","556","1","1072","7","22","2","552","791","773","926","678","956","633","652","960","863","747","868","711","1012","554","941","644","651","953","1044","541","766","802","901","661","0","987","0","0","542"
"19","0080050A","50","33","27","3","2326","0","0","0","0","0","0","0","0","0","2072","0","0","0","0","0","0","0","0","0","0","0","1039","391","0","0","0","0","0","1104","0","724","5","1246","11","27","2","746","1029","902","1170","799","1209","730","904","1065","1117","861","1040","900","1201","723","1286","646","761","1197","1373","568","960","975","1126","787","0","1109","0","0","741"
"19","0080052A","50","33","27","3","2622","0","0","0","0","0","0","0","0","0","2305","0","0","0","0","0","0","0","0","0","0","0","1209","416","0","0","0","0","0","1313","0","749","9","1475","7","25","6","745","1061","1088","1222","954","1296","853","927","1242","1211","975","1136","1011","1329","805","1350","788","900","1280","1493","647","948","1178","1216","884","0","1323","0","0","734"
"19","0090002A","38","25","21","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0","1","1","0","0","1","0","1","1","0","0","1","0","0","0"
"19","0090003A","38","25","21","1","2446","0","0","0","0","0","0","0","0","0","2129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1229","431","587","0","1475","6","674","3","17","4","1398","1378","615","1630","422","1629","393","1398","645","1578","472","1312","709","975","1037","1651","385","588","1447","1640","383","1205","814","1543","473","0","571","0","0","1436"
"19","0090005B","36","25","21","1","150","0","0","0","0","0","0","0","0","0","116","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","68","0","47","0","67","0","46","2","0","0","67","77","32","75","34","81","28","69","40","92","18","66","43","47","59","82","29","38","71","85","22","66","42","81","28","0","42","0","0","69"
"19","0090005E","36","25","21","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0090006A","38","25","21","1","80","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","6","26","0","21","0","22","4","3","1","21","19","28","30","20","33","14","18","30","27","23","24","25","23","25","28","23","20","30","30","20","19","28","25","21","0","25","0","0","19"
"19","0090007B","38","25","21","1","5","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","3","0","1","0","0","0","3","4","0","4","0","3","1","3","1","4","0","1","2","0","4","4","0","0","4","3","1","1","3","3","1","0","1","0","0","2"
"19","0090007C","38","25","21","1","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","2","1","1","2","0","2","0","2","0","1","1","1","1","1","1","1","1","0","2","1","1","1","1","2","0","0","0","0","0","2"
"19","0090009A","39","25","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0090012A","39","25","21","1","8","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","8","0","1","0","8","0","1","0","0","0","8","8","1","8","1","8","1","5","4","8","1","6","3","1","8","8","1","1","8","8","1","8","1","8","1","0","1","0","0","8"
"19","0090017A","38","28","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0150003A","49","27","22","3","2743","0","0","0","0","0","0","0","0","0","2182","0","0","0","0","0","0","0","0","0","0","0","1313","0","0","0","0","561","0","1354","0","550","12","1483","13","20","4","606","1010","975","943","1077","1060","945","783","1242","1035","994","1026","949","1273","703","997","1020","927","1100","1178","800","775","1209","1032","927","0","0","0","0","0"
"19","0150005D","49","27","22","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0150005E","49","27","22","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0150007A","49","27","22","3","2484","0","0","0","0","0","0","0","0","0","1819","0","0","0","0","0","0","0","0","0","0","0","1156","0","0","0","0","393","0","1204","0","375","5","1282","13","11","6","469","737","882","688","996","800","853","589","1070","809","862","728","898","993","626","689","985","753","926","924","744","561","1075","841","780","0","0","0","0","0"
"19","0150008A","49","27","22","3","2342","0","0","0","0","0","0","0","0","0","1720","0","0","0","0","0","0","0","0","0","0","0","1114","0","0","0","0","375","0","1169","0","352","4","1226","13","8","10","434","734","832","673","931","792","801","551","1045","760","853","740","810","995","558","675","925","716","888","907","659","585","967","813","717","0","0","0","0","0"
"19","0150010B","49","27","22","3","2379","0","0","0","0","0","0","0","0","0","1780","0","0","0","0","0","0","0","0","0","0","0","1080","0","0","0","0","411","0","1142","0","390","4","1238","8","15","7","468","743","854","720","941","807","824","616","1031","846","819","748","856","1000","608","779","864","696","950","930","695","610","1006","859","728","0","0","0","0","0"
"19","0150011A","49","27","22","3","2263","0","0","0","0","0","0","0","0","0","1780","0","0","0","0","0","0","0","0","0","0","0","1191","0","0","0","0","373","0","1249","0","334","5","1322","5","12","8","396","751","880","760","933","753","922","612","1074","803","887","809","841","1055","580","879","793","804","873","945","726","614","1025","860","775","0","0","0","0","0"
"19","0150012A","49","27","22","3","2384","0","0","0","0","0","0","0","0","0","1831","0","0","0","0","0","0","0","0","0","0","0","1169","0","0","0","0","374","0","1233","0","344","7","1349","11","11","6","402","724","956","681","1045","761","952","546","1171","802","928","752","930","1092","597","752","966","842","884","924","780","610","1074","847","818","0","0","0","0","0"
"19","0150016D","49","27","22","3","2313","0","0","0","0","0","0","0","0","0","1838","0","0","0","0","0","0","0","0","0","0","0","1154","0","0","0","0","466","0","1185","0","458","10","1242","10","10","5","529","854","821","830","885","902","794","665","1037","868","845","875","788","1034","623","899","777","762","942","980","692","691","976","913","731","0","0","0","0","0"
"19","0150023A","49","27","22","3","2261","0","0","0","0","0","0","0","0","0","1807","0","0","0","0","0","0","0","0","0","0","0","1215","0","0","0","0","329","0","1274","0","307","8","1376","8","9","1","368","731","923","737","976","751","923","582","1114","769","936","785","879","1141","502","839","837","820","861","949","707","651","1011","825","825","0","0","0","0","0"
"19","0150025A","49","27","22","3","2299","0","0","0","0","0","0","0","0","0","1691","0","0","0","0","0","0","0","0","0","0","0","1093","0","0","0","0","365","0","1132","0","353","4","1182","8","9","9","444","684","857","607","985","775","805","556","1016","772","814","732","827","1004","554","691","893","771","811","846","727","551","1012","809","726","0","0","0","0","0"
"19","0150032B","49","27","22","3","23","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","6","0","14","0","7","0","13","0","0","0","10","5","16","10","12","12","9","6","15","9","12","9","13","15","6","8","14","13","9","6","16","3","17","14","7","0","0","0","0","0"
"19","0150033A","49","27","22","3","2071","0","0","0","0","0","0","0","0","0","1586","0","0","0","0","0","0","0","0","0","0","0","976","0","0","0","0","390","0","1066","0","332","7","1132","3","5","6","401","664","779","678","811","758","725","580","905","737","759","749","714","934","512","749","717","675","811","863","597","579","875","792","647","0","0","0","0","0"
"19","0150039A","49","27","22","3","2463","0","0","0","0","0","0","0","0","0","1792","0","0","0","0","0","0","0","0","0","0","0","1120","0","0","0","0","381","0","1171","0","356","6","1244","15","11","10","470","694","907","674","985","833","801","596","1046","810","843","714","898","985","610","781","859","756","887","858","770","569","1039","836","746","0","0","0","0","0"
"19","0150042A","49","27","22","3","2350","0","0","0","0","0","0","0","0","0","1709","0","0","0","0","0","0","0","0","0","0","0","1040","0","0","0","0","430","0","1105","0","391","6","1155","8","10","1","498","733","826","724","857","843","743","658","921","847","732","742","810","925","620","808","745","655","916","876","685","630","926","808","715","0","0","0","0","0"
"19","0150044B","49","27","22","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0150045A","49","27","22","3","2277","0","0","0","0","0","0","0","0","0","1624","0","0","0","0","0","0","0","0","0","0","0","997","0","0","0","0","365","0","1039","0","366","3","1085","3","13","9","478","657","801","715","780","839","639","607","878","772","711","729","728","903","550","735","730","638","850","832","628","527","936","772","667","0","0","0","0","0"
"19","0150049A","49","27","22","3","2401","0","0","0","0","0","0","0","0","0","1786","0","0","0","0","0","0","0","0","0","0","0","1057","0","0","0","0","419","0","1137","0","389","6","1176","11","10","6","537","809","765","797","839","875","747","666","965","900","738","811","779","933","646","877","748","699","927","918","680","585","998","845","699","0","0","0","0","0"
"19","0150051A","49","27","22","3","2052","0","0","0","0","0","0","0","0","0","1593","0","0","0","0","0","0","0","0","0","0","0","970","0","0","0","0","378","0","1012","0","364","1","1030","10","9","2","495","725","703","723","747","797","641","612","837","808","654","772","661","856","565","823","627","656","807","881","555","520","910","760","626","0","0","0","0","0"
"19","0150056A","49","27","22","3","2039","0","0","0","0","0","0","0","0","0","1561","0","0","0","0","0","0","0","0","0","0","0","979","0","0","0","0","363","0","1037","0","333","1","1067","9","12","7","449","665","740","662","770","730","696","576","851","759","677","699","709","856","537","751","667","594","848","825","617","516","896","805","595","0","0","0","0","0"
"19","0150060A","49","27","22","3","2377","0","0","0","0","0","0","0","0","0","1678","0","0","0","0","0","0","0","0","0","0","0","997","0","0","0","0","384","0","1052","0","364","5","1100","12","12","2","510","686","818","722","819","847","677","643","884","812","733","748","743","911","585","804","728","697","839","846","671","549","954","817","655","0","0","0","0","0"
"19","0150065A","49","27","22","3","2188","0","0","0","0","0","0","0","0","0","1732","0","0","0","0","0","0","0","0","0","0","0","1141","0","0","0","0","381","0","1184","0","352","7","1271","12","7","8","406","704","894","730","909","795","838","585","1048","812","824","724","869","1011","580","848","758","770","862","935","673","585","1016","829","766","0","0","0","0","0"
"19","0150067A","49","27","22","3","2274","0","0","0","0","0","0","0","0","0","1810","0","0","0","0","0","0","0","0","0","0","0","1088","0","0","0","0","462","0","1162","0","439","5","1214","5","8","2","533","863","794","932","765","978","701","742","937","958","731","914","735","952","683","1034","641","721","969","1025","629","663","988","957","684","0","0","0","0","0"
"19","0150079A","49","27","22","3","2464","0","0","0","0","0","0","0","0","0","1828","0","0","0","0","0","0","0","0","0","0","0","1059","0","0","0","0","461","0","1143","0","414","7","1206","7","14","8","550","788","813","773","884","899","735","690","960","892","757","737","856","955","650","844","790","680","956","993","638","640","964","883","702","0","0","0","0","0"
"19","0180002A","62","43","35","3","1172","0","0","0","0","0","0","0","0","0","834","0","0","0","0","0","0","0","0","0","0","0","597","0","0","0","0","171","0","548","0","242","6","620","2","5","5","179","325","457","326","471","352","437","240","556","338","447","357","424","523","267","383","411","358","440","423","363","289","491","446","331","196","554","0","0","0"
"19","0200001E","41","27","25","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0200002A","41","27","25","3","2383","0","0","0","0","0","0","0","0","0","2029","0","0","0","0","0","0","0","0","0","0","0","1574","0","0","0","0","357","0","1610","0","343","4","1632","11","26","7","320","894","1051","865","1110","714","1235","424","1555","769","1204","990","944","1478","441","992","945","975","975","1165","774","754","1177","869","1055","0","1545","0","0","389"
"19","0200003A","41","27","25","3","2220","0","0","0","0","0","0","0","0","0","1802","0","0","0","0","0","0","0","0","0","0","0","1558","0","0","0","0","182","0","1554","0","182","4","1560","10","10","4","184","703","995","683","1050","491","1228","264","1471","564","1167","782","921","1321","363","749","968","934","789","957","751","634","1058","794","894","0","1520","0","0","213"
"19","0200007A","41","27","25","3","2239","0","0","0","0","0","0","0","0","0","1844","0","0","0","0","0","0","0","0","0","0","0","1191","0","0","0","0","504","0","1180","0","562","8","1247","3","13","1","540","899","817","846","896","828","896","611","1137","875","874","908","811","1081","629","937","782","795","950","1094","628","761","957","877","824","0","1201","0","0","516"
"19","0200008B","41","27","25","3","2109","0","0","0","0","0","0","0","0","0","1665","0","0","0","0","0","0","0","0","0","0","0","1400","0","0","0","0","192","0","1399","0","197","3","1409","11","7","2","206","613","954","682","918","471","1109","291","1307","566","1035","723","837","1188","368","708","867","803","778","905","670","546","1011","731","823","0","1378","0","0","225"
"19","0200016A","41","27","25","3","2235","0","0","0","0","0","0","0","0","0","2017","0","0","0","0","0","0","0","0","0","0","0","1359","0","0","0","0","549","0","1403","0","528","3","1444","14","21","2","487","1056","834","979","955","958","959","641","1295","988","947","1114","787","1369","524","1126","783","881","1047","1317","589","885","1011","916","969","0","1354","0","0","566"
"19","0200017A","41","27","25","3","1798","0","0","0","0","0","0","0","0","0","1355","0","0","0","0","0","0","0","0","0","0","0","1142","0","0","0","0","141","0","1124","0","168","2","1142","8","8","6","158","452","820","490","818","401","870","227","1068","462","831","550","721","942","327","556","733","653","645","658","629","426","846","577","675","0","1122","0","0","161"
"19","0200019B","41","27","25","3","1817","0","0","0","0","0","0","0","0","0","1255","0","0","0","0","0","0","0","0","0","0","0","1037","0","0","0","0","161","0","1027","0","168","5","1058","11","10","4","155","423","742","452","741","424","760","274","926","431","767","505","672","840","326","486","701","557","623","636","542","415","756","561","600","0","1024","0","0","169"
"19","0200024A","41","27","25","3","2250","0","0","0","0","0","0","0","0","0","1829","0","0","0","0","0","0","0","0","0","0","0","1470","0","0","0","0","280","0","1474","0","283","5","1496","10","11","1","276","765","961","688","1083","588","1162","348","1427","672","1095","827","898","1330","389","792","947","924","821","1010","729","666","1071","747","971","0","1441","0","0","300"
"19","0200028A","41","27","25","3","2375","0","0","0","0","0","0","0","0","0","2118","0","0","0","0","0","0","0","0","0","0","0","1598","0","0","0","0","401","0","1619","0","399","5","1692","10","27","3","343","1048","959","927","1106","829","1190","548","1494","871","1173","1097","914","1494","500","1064","951","1090","925","1329","675","815","1184","932","1055","0","1570","0","0","422"
"19","0200030A","41","27","25","3","1955","0","0","0","0","0","0","0","0","0","1734","0","0","0","0","0","0","0","0","0","0","0","1170","0","0","0","0","478","0","1196","0","476","8","1237","7","22","0","422","909","719","888","781","839","812","558","1115","829","846","936","714","1186","447","1018","639","781","885","1136","508","794","842","797","818","0","1163","0","0","492"
"19","0200030K","41","27","25","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0200031A","43","27","25","0","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0","0","3","0","3","1","2","0","3","0","3","0","3","3","0","1","2","2","1","0","3","0","3","0","1","0","3","0","0","0"
"19","0200039A","41","27","25","3","2580","0","0","0","0","0","0","0","0","0","2070","0","0","0","0","0","0","0","0","0","0","0","1302","0","0","0","0","626","0","1283","0","679","12","1333","12","20","3","656","987","908","936","999","1003","921","690","1266","986","973","1015","883","1264","652","974","949","899","1059","1165","753","828","1066","975","921","0","1306","0","0","635"
"19","0200049A","41","27","25","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0200051A","41","27","25","3","2001","0","0","0","0","0","0","0","0","0","1742","0","0","0","0","0","0","0","0","0","0","0","1336","0","0","0","0","328","0","1352","0","326","7","1398","6","11","6","287","793","863","695","992","639","1034","416","1267","667","1018","862","800","1215","439","822","843","880","801","1018","636","657","1003","719","921","0","1310","0","0","353"
"19","0200086G","41","27","25","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0200087A","41","27","25","3","1706","0","0","0","0","0","0","0","0","0","1393","0","0","0","0","0","0","0","0","0","0","0","1166","0","0","0","0","176","0","1146","0","191","9","1151","9","9","3","185","578","735","563","785","444","889","263","1081","475","869","640","683","1027","290","585","743","719","621","761","567","500","817","608","705","0","1145","0","0","190"
"19","0200088A","41","27","25","3","2276","0","0","0","0","0","0","0","0","0","1861","0","0","0","0","0","0","0","0","0","0","0","1487","0","0","0","0","285","0","1519","0","274","6","1524","9","15","1","264","753","997","718","1076","565","1213","342","1453","606","1190","846","909","1360","396","753","1027","948","820","1006","759","720","1028","794","944","0","1462","0","0","311"
"19","0200091B","41","27","25","3","2208","0","0","0","0","0","0","0","0","0","1780","0","0","0","0","0","0","0","0","0","0","0","1483","0","0","0","0","217","0","1480","0","224","5","1484","16","12","2","223","752","945","683","1029","515","1185","326","1401","612","1106","782","906","1355","336","751","951","899","812","970","724","638","1038","803","887","0","1460","0","0","238"
"19","0200094A","41","27","25","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","0200094F","41","27","25","3","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","0","2","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","0","2","2","0","2","0","0","0","0","0","2"
"19","0300002A","36","25","21","1","424","0","0","0","0","0","0","0","0","0","310","0","0","0","0","0","0","0","0","0","0","0","94","0","0","0","0","198","0","115","0","184","2","118","0","4","1","183","182","112","197","102","225","72","156","141","206","90","167","123","161","133","211","84","102","190","219","70","148","144","200","91","0","115","0","0","184"
"19","0300002B","36","25","21","1","44","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","18","0","16","0","15","0","15","1","2","0","15","16","17","22","10","20","13","14","19","16","17","17","16","28","5","24","8","12","20","20","13","12","21","21","12","0","15","0","0","17"
"19","0300002D","36","25","21","1","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","1","1","2","0","0","0","0","0","2"
"19","0300003A","36","25","21","1","68","0","0","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","46","0","18","0","42","0","17","0","1","0","42","43","13","43","13","47","10","43","16","42","17","34","22","24","32","47","9","11","45","43","14","39","17","45","10","0","13","0","0","46"
