CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8530486,2018,2018-01-20,5600,2018-01-03,0405,4918,9104,3,5,6,5607,0,0,0,,0,9C11,"OLD CONEJO RD","VISTA CONEJO",251.00,S,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.95806121826172,34.195171356201172
8530779,2018,2018-01-23,5609,2018-01-08,1624,389,,1,5,6,5609,0,0,0,,0,005,"STEARNS ST","LOS ANGELES AV",232.00,N,N,C,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21804,A,N,B,C,A,B,H,-,A,D,0,,,,,Y,,A,08,0,0,1,0,0,0,0,0,0,"- ","- ",34.271831512451172,-118.69138336181641,VENTURA,"SIMI VALLEY",-118.69140625,34.272377014160156
8530783,2018,2018-01-30,5609,2018-01-02,0853,310,511,2,5,6,5609,0,0,0,,0,005,"LOS ANGELES AV","TAPO CANYON RD",36.00,W,N,A,-,N,,,,,,,,,,N,3,0,2,2,A,-,07,21658,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,2,0,0,0,0,1,0,0,"- ","- ",34.271629333496094,-118.71752166748047,VENTURA,"SIMI VALLEY",-118.71744537353516,34.271671295166016
8531046,2018,2018-01-23,5600,2018-01-08,1305,4455,8150,1,5,5,5601,0,0,0,,0,08B,"CARMEN DR","VENTURA BL",0.00,,Y,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21801,A,N,H,C,A,B,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",34.216991424560547,-119.05020904541016,VENTURA,CAMARILLO,-119.05027770996094,34.216949462890625
8531050,2018,2018-01-23,5600,2018-01-09,0855,4397,8102,2,5,5,5601,0,0,0,,0,08B,"CARMEN DR","E MODESTO DR",193.00,N,N,B,-,N,,,,,,,,,,Y,3,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",34.226909637451172,-119.05178070068359,VENTURA,CAMARILLO,-119.05171203613281,34.226913452148438
8531091,2018,2018-01-25,5609,2018-01-02,1620,389,,2,5,6,5609,0,0,0,,0,001,"COCHRAN ST","MADERA RD",1584.00,E,N,A,-,N,,,,,,,,,,Y,3,0,5,2,A,-,09,21801,A,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,4,0,0,0,0,0,0,"- ","- ",34.28173828125,-118.79489135742188,VENTURA,"SIMI VALLEY",-118.78995513916016,34.280845642089844
8531095,2018,2018-01-25,5609,2018-01-01,0017,389,,1,5,6,5609,0,0,0,,0,003,"ROYAL AV","TAPO CANYON RD",121.00,W,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,01,23152,A,N,A,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",34.267978668212891,-118.71662902832031,VENTURA,"SIMI VALLEY",-118.71695709228516,34.268001556396484
8531099,2018,2018-01-25,5609,2018-01-08,1820,389,,1,5,6,5609,0,0,0,,0,001,"LOS ANGELES AV","WILLIAMS ST",208.00,E,N,C,-,N,,,,,,,,,,Y,4,0,1,2,A,-,05,21650,,N,A,C,A,B,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.271800994873047,-118.77385711669922,VENTURA,"SIMI VALLEY",-118.77326202392578,34.27178955078125
8531103,2018,2018-01-25,5609,2018-01-08,1728,389,,1,5,6,5609,0,0,0,,0,003,"ROYAL AV","CROCKER ST",300.00,E,N,C,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,C,A,B,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.264518737792969,-118.76889038085938,VENTURA,"SIMI VALLEY",-118.76789855957031,34.264476776123047
8531107,2018,2018-01-25,5609,2018-01-06,1653,437,,6,5,6,5609,0,0,0,,0,005,"ALAMO ST","TAPO ST",380.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,Y,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",34.286289215087891,-118.70899963378906,VENTURA,"SIMI VALLEY",-118.70769500732422,34.286319732666016
8531728,2018,2018-01-17,5608,2018-01-01,0830,438,,1,5,6,5608,0,0,0,,0,002,"THOMPSON BL","CHRISMAN AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,21,22106,,F,H,G,A,A,H,-,A,D,0,,Y,,,Y,,-,,0,0,1,0,0,0,1,0,0,"- ","- ",,,VENTURA,VENTURA,-119.27860260009766,34.2760009765625
8531732,2018,2018-02-20,5608,2018-01-03,1904,462,VTA,3,5,6,5608,0,0,0,,0,002,TELEPHONE,"MAIN ST",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,11,21456,B,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.23184967041016,34.261920928955078
8531736,2018,2018-01-19,5608,2018-01-01,1840,495,VENTU,1,5,6,5608,0,0,0,,0,002,"E MAIN ST","E CATALINA ST",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,04,21703,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",34.277801513671875,-119.26930236816406,VENTURA,VENTURA,-119.26921844482422,34.277790069580078
8531740,2018,2018-03-07,5608,2018-01-06,1434,477,VENTU,6,5,6,5608,0,0,0,,0,003,"S WELLS RD","TELEPHONE RD",0.00,,Y,B,-,N,,,,,,,,,,Y,4,0,2,2,C,-,18,,,N,H,J,A,A,H,-,A,A,0,,,,,Y,,-,"- ",0,0,2,0,0,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.15120697021484,34.283748626708984
8531744,2018,2018-01-17,5608,2018-01-02,1220,451,,2,5,6,5608,0,0,0,,0,004,"VICTORIA AV","8TH ST",0.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.21056365966797,34.256809234619141
8533628,2018,2018-01-22,5605,2018-01-01,1425,147,PATRO,1,5,3,5605,0,0,0,,0,001,"CHANNEL ISLANDS BL","WHEELHOUSE AV",61.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"PORT HUENEME",-119.21251678466797,34.176010131835938
8533930,2018,2018-01-25,5605,2018-01-02,1831,147,PATRO,2,5,3,5605,0,0,0,,0,002,"CHANNEL ISLANDS BL","MADERA CIR",565.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,M,C,C,A,A,H,-,C,A,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"PORT HUENEME",-119.19929504394531,34.175918579101562
8533934,2018,2018-01-25,5605,2018-01-01,1459,147,PATRO,1,5,3,5605,0,0,0,,0,002,"CHANNEL ISLANDS BL","VENTURA RD",38.00,E,N,A,-,N,,,,,,,,,,N,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,07,0,0,2,0,0,0,0,0,0,"- ","- ",,,VENTURA,"PORT HUENEME",-119.19496154785156,34.17572021484375
8534054,2018,2018-01-26,5600,2018-01-02,1909,5070,9158,2,5,6,5607,0,0,0,,0,09D,"HAMPSHIRE RD","TRIUNFO CANYON RD",35.00,W,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.83524322509766,34.158603668212891
8534345,2018,2018-01-30,5600,2018-01-10,1321,5388,9074,3,5,6,5607,0,0,0,,0,09G,"RANCHO RD","THOUSAND OAKS BL",237.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.85787963867188,34.178531646728516
8534349,2018,2018-08-07,5600,2018-01-12,1226,5388,9130,5,5,6,5607,0,0,0,,0,09C,"VENTU PARK RD","RT 101",0.00,,Y,A,-,Y,VEN,7,101,-,-,6.384,R,4,S,Y,4,0,1,2,A,-,12,21453,A,N,D,D,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ",SF,,,VENTURA,"THOUSAND OAKS",-118.91463470458984,34.184257507324219
8534493,2018,2018-01-31,5600,2018-01-16,2019,4550,9072,2,5,6,5607,0,0,0,,0,09G,"HILLCREST DR","ERBES RD",6.00,E,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.84741973876953,34.182415008544922
8534497,2018,2018-01-31,5600,2018-01-16,1318,5234,9168,2,5,6,5607,0,0,0,,0,09D,"THOUSAND OAKS BL","VIA MERIDA",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,D,-,00,,,N,H,C,A,A,H,-,A,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.81292724609375,34.157260894775391
8535236,2018,2018-01-23,5608,2018-01-05,1150,429,,5,5,6,5608,0,0,0,,0,004,"VICTORIA AV","THILLE ST",0.00,,Y,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,A,N,G,B,A,A,H,-,A,A,0,,Y,,,Y,,-,,0,0,1,0,0,0,1,0,0,"- ","- ",,,VENTURA,VENTURA,-119.21304321289062,34.268100738525391
8535450,2018,2018-01-30,5600,2018-01-05,1400,3927,8215,5,5,5,5601,0,0,0,,0,08D,"SANTA ROSA RD","TUSCAN GROVE",407.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",34.237480163574219,-118.96720123291016,VENTURA,CAMARILLO,-118.96710205078125,34.237464904785156
8535684,2018,2018-02-02,5600,2018-01-08,1241,4045,9008,1,5,6,5607,0,0,0,,0,9A01,"ERBES RD","MINNECOTA DR",380.00,N,N,C,-,N,,,,,,,,,,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,B,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.84508514404297,34.237018585205078
8535692,2018,2018-01-31,5600,2018-01-13,1544,4550,9068,6,5,6,5607,0,0,0,,0,09B,"ENCINO VISTA DR","HILLCREST DR",92.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,A,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.85861968994141,34.181339263916016
8535696,2018,2018-02-02,5600,2018-01-11,0747,4498,9006,4,5,6,5607,0,0,0,,0,09A,"OLSEN RD","HARDY LN",57.00,E,N,A,-,N,,,,,,,,,,Y,4,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.83377838134766,34.246429443359375
8535700,2018,2018-02-02,5600,2018-01-10,1629,4550,9080,3,5,6,5607,0,0,0,,0,09H,"WILBUR RD","SAINT CHARLES DR",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,3,2,A,-,12,22450,A,N,D,D,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,2,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.8775634765625,34.185230255126953
8535746,2018,2018-01-29,5600,2018-01-09,1858,4438,8203,2,5,5,5601,0,0,0,,0,8D1,"ADOLFO RD","RANCHO CALLEGUAS DR",621.00,W,N,B,-,N,,,,,,,,,,Y,4,0,2,1,A,-,03,22350,,N,E,I,A,B,H,-,C,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",34.132911682128906,-119.00544738769531,VENTURA,CAMARILLO,-119.01499938964844,34.224769592285156
8535748,2018,2018-02-14,5600,2018-01-09,1838,2740,9166,2,5,6,5607,0,0,0,,0,09D,"WESTLAKE BL","THOUSAND OAKS BL",0.00,,Y,B,-,N,,,,,,,,,,Y,3,0,3,2,A,-,12,21453,,N,H,C,A,A,H,-,C,A,0,,,,,Y,,-,"- ",0,1,2,0,0,0,0,0,0,"- ","- ",,,VENTURA,"THOUSAND OAKS",-118.82292175292969,34.160919189453125
8536415,2018,2018-01-22,5608,2018-01-08,1245,477,,1,5,6,5608,0,0,0,,0,003,"TELEGRAPH RD","S WAKE FOREST",72.00,E,N,C,-,N,,,,,,,,,,Y,4,0,1,3,A,-,08,22107,,N,-,C,A,B,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.21770477294922,34.277530670166016
8536419,2018,2018-01-22,5608,2018-01-08,1310,488,,1,5,6,5608,0,0,0,,0,004,"VICTORIA AV","RALSTON ST",150.00,S,N,B,C,N,,,,,,,,,,Y,4,0,3,3,A,-,03,22350,,N,C,C,A,B,H,-,A,A,0,,,,,Y,,-,,0,0,3,0,0,0,0,0,0,"- ","- ",34.260101318359375,-119.2113037109375,VENTURA,VENTURA,-119.21156311035156,34.260654449462891
8536423,2018,2018-01-22,5608,2018-01-09,1217,456,,2,5,6,5608,0,0,0,,0,003,"TELEGRAPH RD","CLAREMONT WY",13.00,E,N,C,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,B,H,-,A,A,0,Y,,,,Y,,-,,0,0,1,0,1,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.23397827148438,34.275135040283203
8536612,2018,2018-02-15,5608,2018-01-06,0028,441,,6,5,6,5608,0,0,0,,0,001,FIGUEROA,HARBOR,450.00,S,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,01,23152,A,M,B,I,A,A,H,-,C,D,0,,,,,Y,Y,-,,0,0,1,0,0,0,0,0,0,"- ","- ",34.275699615478516,-119.29759979248047,VENTURA,VENTURA,-119.29769134521484,34.275699615478516
8536616,2018,2018-01-22,5608,2018-01-06,1100,481,VENTU,6,5,6,5608,0,0,0,,0,003,"TELEPHONE RD","HILL RD",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.20646667480469,34.266311645507812
8536620,2018,2018-08-20,5608,2018-01-08,1415,480,VENTU,1,5,6,5608,0,0,0,,0,004,"JOHNSON DR","RT 101",0.00,,Y,C,-,Y,VEN,7,101,-,R,23.582,R,4,S,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,B,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ",SO,34.242900848388672,-119.19309997558594,VENTURA,VENTURA,-119.19496917724609,34.244255065917969
8536624,2018,2018-01-22,5608,2018-01-08,1639,482,,1,5,6,5608,0,0,0,,0,004,"VICTORIA AV S","RALSTON AV",58.00,S,N,B,C,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,A,C,A,B,H,-,B,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.21161651611328,34.260902404785156
8536628,2018,2018-01-22,5608,2018-01-08,0754,503,,1,5,6,5608,0,0,0,,0,004,"TELEPHONE RD","JOHNSON DR",0.00,,-,B,C,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,A,N,E,I,A,B,H,-,A,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",34.160999298095703,-119.12300109863281,VENTURA,VENTURA,-119.20079040527344,34.267131805419922
8536632,2018,2018-01-22,5608,2018-01-10,0812,430,,3,5,6,5608,0,0,0,,0,,"MAIN ST",SEAWARD,0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",,,VENTURA,VENTURA,-119.26526641845703,34.276500701904297
8536636,2018,2018-02-15,5608,2018-01-10,1804,496,VTA,3,5,6,5608,0,0,0,,0,001,"EAST THOMPSON BL","OAK ST",107.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,05,21651,A,N,B,C,A,A,H,-,C,A,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",34.278240203857422,-119.29517364501953,VENTURA,VENTURA,-119.29501342773438,34.27825927734375
8536640,2018,2018-01-22,5608,2018-01-12,1844,497,,5,5,6,5608,0,0,0,,0,004,"TELEPHONE RD","VICTORIA AV",115.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21952,,N,A,B,C,A,H,-,B,A,0,Y,,,,Y,,-,,0,1,0,0,1,0,0,0,0,"- ","- ",,,VENTURA,VENTURA,-119.21293640136719,34.265396118164062
8537991,2018,2018-02-01,5600,2018-01-11,1454,2994,5100,4,5,4,5690,0,0,0,,0,02B,"HIGH ST","SPRING RD",175.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21801,A,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,D,22,0,0,1,0,0,0,1,0,0,"- ","- ",,,VENTURA,MOORPARK,-118.87530517578125,34.285438537597656
8538703,2018,2018-01-31,5600,2018-01-08,0633,2979,5100,1,5,4,5690,0,0,0,,0,02B,"SPRING RD","ROBERTS AV",0.00,,Y,C,-,N,,,,,,,,,,Y,4,0,2,2,A,-,09,21802,A,N,D,C,A,B,H,-,C,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,VENTURA,MOORPARK,-118.87473297119141,34.281089782714844
8539184,2018,2018-08-20,5600,2018-01-07,1630,4662,8260,7,5,5,5601,0,0,0,,0,08D,"SANTA ROSA RD","RT 101",0.00,,Y,A,-,Y,VEN,7,101,-,-,12.208,R,4,N,Y,4,0,3,2,A,-,01,23153,A,F,D,C,A,A,H,-,A,A,0,,,,,Y,Y,A,01,0,0,3,0,0,0,0,0,0,"- ",NF,34.125301361083984,-119.00254058837891,VENTURA,CAMARILLO,-119.00624847412109,34.213302612304688
8539188,2018,2018-01-30,5600,2018-01-03,1420,3927,8013,3,5,5,5601,0,0,0,,0,08A,"PONDEROSA DR","LAS POSAS RD",521.00,E,N,A,-,N,,,,,,,,,,Y,4,0,2,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",34.223690032958984,-119.06803894042969,VENTURA,CAMARILLO,-119.06804656982422,34.223701477050781
