Name,Street Address,City,State,Zip Code,County,Phone,Description,Resource Type,Web Link,Notes,Latitude,Longitude
Davis Street Family Resource Center,3081 Teagarden Street,San Leandro,CA,94577,Alameda,510-347-4620 ext 163,"Emergency food is available to ALL regardless of residence.  No income paperwork qualifications required.  Open 10:00 AM to 5:00 PM M-F. We will offer the option for a drive-through grocery pick up. If any clients are not comfortable coming into the food warehouse and would like to schedule a drive-through food pick up, please text or call 510.561.9042",Food Pantry,http://www.davisstreet.org/TextPages/food_pantry.aspx,,37.704988,-122.153448
Eden United Church Of Christ,21455 Birch Street,Hayward,CA,94541,Alameda,510-582-9533,"FOOD PANTRY 2nd & 4th Wednesdays From 1:30 until food runs out. No ID required

Pantry distributes perishable and non-perishable groceries to families in Hayward twice a month. No referrals are required by community members to receive food. To volunteer, or for more information, please contact the Compaeras/os Ministry Coordinator.",Food Pantry,https://foodnow.net/location/eden-united-church-food-for-cherryland/,,37.681266,-122.093415
Mount Zion Missionary Baptist Church,1203 Willow Street,Oakland,CA,94607,Alameda,510-893-2932,"Food giveaway every Friday, 11-12. Offers varied selection of meats, fruits, and non-perishable food items.",Nutrition Services Program,http://www.berkeleymtzionmbc.org/,,37.811861,-122.297833
New Life Christian Church,1265 B Street,Hayward,CA,94541,Alameda,510-889-1304,"Anyone in need of food, New Life welcomes them every Thursday evening from 6-7 pm for free food distribution. There are also Bible Studies in English and Spanish at 5pm. Provides weekly food to anyone in need.",Food Pantry,http://www.newlifechristianchurch.com/,,37.675848,-122.078014
Community Action Agency Of Butte County Inc Evangelical Church,490 Los Robles,Hamilton City,CA,95951,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.743697,-122.015517
Community Action Agency Of Butte County Inc Feather Falls Grange,1834 Lumpkin Road,Feather Falls,CA,95940,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.571312,-121.316335
Community Action Agency Of Butte County Inc First Baptist Church,6500 Clark Road,Paradise,CA,95969,Butte,(530) 877-3532 Main,,Food Pantry,http://northstatefoodbank.com/,,39.773256,-121.593953
Community Action Agency Of Butte County Inc First Lutheran Church,19 Colusa Street,Orland,CA,95963,Butte,(530) 712-2600 ext. 3 Main,,Food Pantry,http://northstatefoodbank.com/,,39.746052,-122.188356
Community Action Agency Of Butte County Inc Forbestown Market Community Center,19100 New York Flats Road,Forbestown,CA,95941,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.516478,-121.273358
Community Action Agency Of Butte County Inc Gridley Guardian Building,200 East Spruce Street,Gridley,CA,95948,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.367322,-121.685462
Community Action Agency Of Butte County Inc Hope Center,1950 Kitrick Avenue Bldg A,Oroville,CA,95966,Butte,(530) 538-8398 Main   Site,,Food Pantry,http://northstatefoodbank.com/,,39.510537,-121.554365
Community Action Agency Of Butte County Inc Magalia Community Church,13700 Old Skyway,Magalia,CA,95954,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.867959,-121.599628
Community Action Agency Of Butte County Inc Mountain Joy Fellowship,15522 Nople,Forest Ranch,CA,95942,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.875016,-121.68132
Community Action Agency Of Butte County Inc New Life Church,965 Grand Avenue,Thermalito,CA,95965,Butte,(530) 712-2600 ext. 3 Service/Intake,,Food Pantry,http://northstatefoodbank.com/,,39.513646,-121.586299
Community Action Agency Of Butte County Inc Palermo Family Bible Church,2570 N. Villa,Palermo,CA,95968,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.439022,-121.538581
Community Action Agency Of Butte County Inc Stirling City Community Center,17044 Old Skyway,Stirling City,CA,95978,Butte,(530) 712-2600 Main   CAA,,Food Pantry,http://northstatefoodbank.com/,,39.875599,-121.536315
First Baptist Church Of Paradise,6500 Clark Road,Paradise,CA,95969,Butte,(530) 877-3532 ext. 3 Service/Intake   Food Pantry,,Food Pantry,http://www.fbcparadise.org/,,39.773256,-121.593953
First Christian Church Paradise,5738 Pentz Rd,Paradise,CA,95969,Butte,(530) 877-9923 Administrative,,Food Pantry,http://fccparadise.org/?fbclid=IwAR1t5hETpMl_gVRCYMKqa1by7a0Q1fwuZjgrobg_ZJlAGiTvQDtKCLn8W7Y,,39.747965,-121.571907
Food Bank Of Contra Costa & Solanobutte College Chico Campus,2320 Forest Avenue,Chico,CA,95928,Butte,(530) 895-1352 Main,,Food Pantry,http://helpcentral.org/,,39.717653,-121.800884
Glenn County Office Of Educationorland Administration Building,676 E. Walker Street,Orland,CA,95963,Butte,(530) 865-1267 Main,,Food Pantry,http://www.glenncoe.org,,39.747553,-122.173814
Grace Lutheran Churchfood Pantry,150 Ford Avenue,Gridley,CA,95948,Butte,(530) 846-4736 Administrative,,Food Pantry,http://helpcentral.org/,,39.370017,-121.68915
Gridley Emergency Relief Servicesgridley Christian Church,580 Washington Street,Gridley,CA,95948,Butte,(530) 846-4002 Administrative,,Food Distribution Program,http://helpcentral.org/,,39.365062,-121.694034
New Hope Missionary Baptist,5640 Lincoln Boulevard,Oroville,CA,95966,Butte,(530) 533-7692 Main,,Food Pantry,http://helpcentral.org/,,39.478287,-121.548328
New Life Christian Center Church,965 Grand Avenue,Oroville,CA,95966,Butte,(530) 534-6816 Administrative,,Food Pantry,http://helpcentral.org/,,39.513646,-121.586299
Oroville Rescue Mission Administrationoroville Rescue Mission,4250 Lincoln Boulevard,Oroville,CA,95966,Butte,(530) 533-9120 Administrative,,Food Pantry,http://www.orovillerescuemission.org,,39.491258,-121.551397
Sacred Heart Parishsacred Heart Parish Food Closet,"1561 Hazel Street, Parish Hall",Gridley,CA,95948,Butte,(530) 846-2140 Service/Intake,,Food Pantry,http://helpcentral.org/,,39.36369,-121.703474
Salvation Armysalvation Army Church Oroville,1640 Washington Avenue,Oroville,CA,95966,Butte,(530) 534-9558 Service/Intake   Social Services,,Food Distribution Program,http://tsachico.org,,39.513668,-121.547497
Student Services -- Butte Glenn Community College District,"3536 Butte Campus Drive, CC 141",Oroville,CA,95965,Butte,(530) 893-7550 Service/Intake   Food Pantry,,Food Pantry,https://www.butte.edu/services/early_Alert/foodpantry.html,,39.650281,-121.644816
The Father's House Church,2833 Fort Wayne Street,Oroville,CA,95966,Butte,(530) 534-4140 Service/Intake,,Food Pantry,http://www.tfhc-oroville.org,,39.495444,-121.540844
The Hope Center,"1950 Kitrick Avenue, Building A",Oroville,CA,95966,Butte,(530) 538-8398 Service/Intake,,Food Distribution Program,http://orovillehopecenter.org,,39.510537,-121.554365
The Hope Centerparadise Hope Center,311 Circlewood Drive,Paradise,CA,95966,Butte,(530) 327-7486 Main,,Food Distribution Program,https://www.orovillehopecenter.org/,,39.745599,-121.637518
Youth For Change6th Street Center,130 W. Sixth Street,Chico,CA,95926,Butte,(530) 894-8008 Main   6th Street Center,,Food Pantry,http://www.6thstreetcenter.org/,,39.746159,-121.840083
Resource Connection,206 George Reed Drive,San Andreas,CA,95249,Calaveras,209-754-1257,,Food Pantry,https://trcac.org/the-food-bank/,,38.17937,-120.678991
Resource Connection Food Bank,820 South Main Street,Angels Camp,CA,95222,Calaveras,209-754-1257,"During Coronavirus Response (Updated 4/13/2020) Food pantry is open Mon, Tues, Wed, Fri 9am -4pm Please call ahead Provides a food pantry for residents of Calaveras County. Distributes food to people in emergency situations.",Food Pantry,https://trcac.org/the-food-bank/,,38.075066,-120.545673
"Community Action Partnership Of Colusa, Glenn, And Trinity",251 East Webster Street,Colusa,CA,95932,Colusa,530-458-0492,"During Coronavirus response (Updated 4/13/2020) Offices closed to the public Call for services Trinity Office Open Mon-Fri 10am-12pm with limited access Coordinates various food assistance and food distribution programs for households in the tri-county area. Links to information about specific food pantry locations, dates, and hours are available on program website.",Emergency Food Assistance,http://www.cgtcap.org,,39.207074,-121.999504
"Community Action Partnership Of Colusa, Glenn, And Trinity Counties",251 East Webster Street,Colusa,CA,95932,Colusa,530-458-0492,"Coordinates various food assistance and food distribution programs for households in the tri-county area. Links to information about specific food pantry locations, dates, and hours are available on program website.",Food Pantry,http://www.cgtcap.org,,39.207074,-121.999504
Ambrose Teen Center,3105 Willow Pass Rd,Bay Point,CA,94565,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-bay-point.html,,38.026628,-121.954765
American Legion Hall,403 W. 6th St,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,38.013837,-121.811629
Antioch Health Center,2335 Country Hills Dr,Antioch,CA,94531,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,37.970799,-121.784497
Antioch High School,700 W. 18th St,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,38.005991,-121.815689
Antioch Kinder Care,2300 Mahogany Way,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,38.003005,-121.832289
Bayo Vista Child Care Center,2 California St,Rodeo,CA,94572,Contra Costa,,"2nd & 4th Thursday, 4:00-5:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-herculescrockettpinoleel-sobrante.html,,38.039728,-122.263138
Booker T. Anderson,960 South 47th St,Richmond,CA,94804,Contra Costa,,"COMMUNITY PRODUCE PROGRAM: 2nd & 4th Saturday, 12:00-1:00pm. SENIOR FOOD PROGRAM: 2nd & 4th Friday, 9:30-11:00am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-richmond.html,,37.918607,-122.326755
Boys & Girls Club Martinez,1301 Alhambra Ave,Martinez,CA,94553,Contra Costa,,"2nd & 4th Friday,12:00-1:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-martinezpleasant-hill.html,,38.013131,-122.134401
Brentwood Community UMC,218 Pine St,Brentwood,CA,94513,Contra Costa,,"COMMUNITY PRODUCE PROGRAM: 2nd & 4th Tuesday, 4:00-5:00pm. FOOD ASSISTANCE PROGRAM: Monday & Wednesday, 9:00am-12:00pm. FOOD FOR CHILDREN: Monday & Wednesday, 9:00am-12:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-brentwood.html,,37.934931,-121.695927
Brentwood Senior Center,193 Griffith Ln,Brentwood,CA,94513,Contra Costa,,"SENIOR FOOD PROGRAM: 2nd & 4th Thursday, 10:00-11:00am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-brentwood.html,,37.925952,-121.705982
Buchanan Park,4150 Harbor St,Pittsburg,CA,94565,Contra Costa,,"1st & 3rd Tuesday,12:00-1:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-pittsburg.html,,37.998537,-121.887119
Calfresh Office (ehsd),4545 Delta Fair Blvd,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,38.00494,-121.85534
Cambridge Elementary,1135 Lacey Ln,Concord,CA,94520,Contra Costa,,"1st & 3rd Saturday,12:00-1:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-concord.html,,37.954462,-122.04527
Carmen Dragon Elementary,4721 Vista Grande Dr,Antioch,CA,94531,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,37.965781,-121.753181
Church Of The Good Shepherd,3200 Harbor St,Pittsburg,CA,94565,Contra Costa,,"Serves people living south of Highway 4, 2nd & 4th Thursday,10:00am-11:00am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-pittsburg.html,,38.005318,-121.886349
Church Of The Nazarene,1650 Ashbury Dr,Concord,CA,94520,Contra Costa,,"COMMUNITY PRODUCE PROGRAM: 1st & 3rd Wednesday,12:00-1:00pm. FOOD ASSISTANCE PROGRAM: 4th Monday, 10:00am-12:00pm. FOOD FOR CHILDREN: 4th Monday, 10:00am-12:00pm.",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-concord.html,,37.972559,-122.034377
Contra Costa College,2600 Mission Bell Dr,San Pablo,CA,94806,Contra Costa,,"1st & 3rd Monday,2:00-3:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-san-pablo.html,,37.96881,-122.342039
Davis Park,1651 Folsom Ave,San Pablo,CA,94806,Contra Costa,,"COMMUNITY PRODUCE PROGRAM: 2nd & 4th Friday,12:00-1:00pm. FOOD ASSISTANCE PROGRAM: 3rd Monday,10:00am-12:00pm.",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-herculescrockettpinoleel-sobrante.html,,37.96098,-122.352792
Diane Avenue Church Of Christ,283 Diane Ave,Pittsburg,CA,94565,Contra Costa,,"Serves people living north of Highway 4, 2nd & 4th Thursday,10:00am-11:30am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-pittsburg.html,,38.013864,-121.872337
El Pueblo Housing Development,875 El Pueblo Ave,Pittsburg,CA,94565,Contra Costa,,"2nd & 4th Sunday,12:30-1:30pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-pittsburg.html,,38.017208,-121.873045
First African Methodist Episcopal Church,2915 Willow Pass Rd,Bay Point,CA,94565,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-bay-point.html,,38.026624,-121.95165
First Baptist Church,224 Linda Vista,Pittsburg,CA,94565,Contra Costa,,"1st & 3rd Thursday,10:30am-12:30pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-pittsburg.html,,38.03586,-121.891104
Rio Vista Elementary,611 Pacifica Ave,Bay Point,CA,94565,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-bay-point.html,,38.033653,-121.975017
First Baptist Family Life Center,224 Linda Vista,Pittsburg,CA,94565,Contra Costa,,"1st & 3rd Thursday,11:30am-12:30pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-pittsburg.html,,38.03586,-121.891104
Golden Hills Mission Outreach,525 East 18th St,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-bay-point.html,,38.005298,-121.795122
Good Shepherd Lutheran Church,4000 Clayton Road,Concord,CA,94521,Contra Costa,,"4th Monday, 10:00am-12:00pm,",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-concord.html,,37.966866,-122.00074
Hercules Senior Center,111 Civic Dr,Hercules,CA,94547,Contra Costa,,"1st & 3rd Tuesday,11:00am-12:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-herculescrockettpinoleel-sobrante.html,,38.010424,-122.266219
Holy Rosary,1313 A St,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,38.008283,-121.805483
Immaculate Heart Of Mary,500 Fairview Ave,Brentwood,CA,94513,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-brentwood.html,,37.933495,-121.72252
Independent Community Church,605 S. 16th St,Richmond,CA,94804,Contra Costa,,"1st & 3rd Friday,10:30-11:30am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-richmond.html,,37.923766,-122.353967
Jubilee Christian Center,11 Texas St,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,37.99925,-121.806747
Kennedy High School,4300 Cutting Blvd,Richmond,CA,94804,Contra Costa,,"1st & 3rd Saturday,2:00-3:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-richmond.html,,37.924867,-122.328615
La Clinica De La Raza,2000 Sierra Rd,Concord,CA,94518,Contra Costa,,"1st & 3rd Saturday,10:00-11:00am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-concord.html,,37.952217,-122.036852
Las Juntas Elementary,4105 Pacheco Blvd,Martinez,CA,94553,Contra Costa,,"2nd & 4th Friday,4:00-5:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-martinezpleasant-hill.html,,38.008872,-122.092564
Living Hope Neighborhood Church,2800 Rheem Ave,Richmond,CA,94804,Contra Costa,,"1st & 3rd Saturday,10:00-11:00am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-richmond.html,,37.949525,-122.340726
Maple Hall,13831 San Pablo Ave,San Pablo,CA,94806,Contra Costa,,"1st & 3rd Friday,10:00-11:00am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-san-pablo.html,,37.958887,-122.341259
Marsh Elementary,2304 G St,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,38.000269,-121.815652
Martinez Health Center,2500 Alhambra Blvd,Martinez,CA,94553,Contra Costa,,"2nd & 4th Monday,12:00-1:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-martinezpleasant-hill.html,,38.00657,-122.132928
Mission Elementary,1711 Mission Dr,Antioch,CA,94509,Contra Costa,,,Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-antioch.html,,37.996831,-121.832031
Montara Bay Community Center,2250 Tara Hills Dr,San Pablo,CA,94806,Contra Costa,,"2nd Monday,10:00-11:30am",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-san-pablo.html,,38.001419,-122.328337
Monument Crisis Center,1990 Market St,Concord,CA,94520,Contra Costa,,"2nd & 4th Monday,2:00-3:00pm",Nutrition Services Program,https://www.foodbankccs.org/get-help/foodbycity/get-food-concord.html,,37.975677,-122.042889
