CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8548133,2,1,2,M,15,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8548137,1,1,1,M,28,3,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8548145,2,1,3,M,16,3,9,-,-,3,VENTURA,"SIMI VALLEY",2018
8548484,2,1,1,M,34,3,1,L,G,3,VENTURA,VENTURA,2018
8548488,2,1,1,F,77,7,1,L,G,0,VENTURA,VENTURA,2018
8548492,2,1,1,M,64,3,1,M,G,3,VENTURA,VENTURA,2018
8548496,1,1,4,F,43,7,9,P,-,0,VENTURA,VENTURA,2018
8548500,1,1,1,M,95,3,1,L,-,0,VENTURA,VENTURA,2018
8548500,2,1,1,M,70,3,1,-,-,3,VENTURA,VENTURA,2018
8548504,2,1,2,-,998,4,3,M,G,0,VENTURA,VENTURA,2018
8548504,2,2,1,-,75,4,1,M,G,0,VENTURA,VENTURA,2018
8548512,1,1,1,F,76,3,1,L,G,0,VENTURA,VENTURA,2018
8548516,3,1,1,M,52,7,1,M,G,0,VENTURA,VENTURA,2018
8548516,3,2,2,M,48,7,3,M,G,0,VENTURA,VENTURA,2018
8548520,2,1,2,F,11,4,3,M,G,0,VENTURA,VENTURA,2018
8548524,1,1,1,F,66,6,1,L,G,3,VENTURA,VENTURA,2018
8548524,2,1,1,F,31,6,1,L,G,0,VENTURA,VENTURA,2018
8548524,2,2,2,M,62,0,3,L,G,0,VENTURA,VENTURA,2018
8548528,2,1,1,F,35,4,1,L,G,0,VENTURA,VENTURA,2018
8548528,2,2,2,M,43,4,3,M,F,0,VENTURA,VENTURA,2018
8548528,3,1,1,M,24,4,1,L,G,0,VENTURA,VENTURA,2018
8548528,3,2,2,M,9,4,3,L,G,0,VENTURA,VENTURA,2018
8548576,2,1,1,M,67,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8548576,2,2,2,M,60,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8548600,1,1,1,M,50,4,1,L,G,0,VENTURA,VENTURA,2018
8548722,2,1,3,M,63,4,9,-,-,3,VENTURA,"SANTA PAULA",2018
8548726,1,1,1,-,27,4,9,-,-,3,VENTURA,"SANTA PAULA",2018
8550210,2,1,1,F,28,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8550490,1,1,1,M,18,2,1,B,-,0,VENTURA,"THOUSAND OAKS",2018
8551692,2,1,1,F,31,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8551696,2,1,1,M,48,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8551700,2,1,1,M,56,2,1,P,W,1,VENTURA,"THOUSAND OAKS",2018
8551708,1,1,1,F,38,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8551708,2,1,1,M,21,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8551755,1,1,1,M,90,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8551755,2,1,1,M,16,3,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8554420,2,1,3,-,75,4,9,-,-,3,VENTURA,OJAI,2018
8554510,2,1,1,F,30,4,1,L,G,0,VENTURA,"SANTA PAULA",2018
8555282,1,1,1,F,21,4,9,-,-,3,VENTURA,VENTURA,2018
8555287,1,1,1,M,46,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8555287,2,1,1,F,18,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8555452,1,1,2,F,10,0,3,M,G,0,VENTURA,"THOUSAND OAKS",2018
8555452,1,2,1,F,76,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8555534,2,1,3,F,9,3,9,P,V,0,VENTURA,CAMARILLO,2018
8555538,1,1,1,M,21,2,1,L,H,0,VENTURA,OJAI,2018
8555542,1,1,2,M,46,0,3,M,G,0,VENTURA,CAMARILLO,2018
8555542,2,1,4,M,48,3,1,P,W,1,VENTURA,CAMARILLO,2018
8556048,1,1,1,F,51,4,1,L,G,0,VENTURA,VENTURA,2018
8556048,2,1,1,F,19,4,1,L,G,0,VENTURA,VENTURA,2018
8556052,1,1,2,F,17,0,3,M,G,0,VENTURA,VENTURA,2018
8556052,2,1,1,M,38,3,1,P,W,1,VENTURA,VENTURA,2018
8556342,3,1,1,M,50,4,1,M,G,0,VENTURA,"THOUSAND OAKS",2018
8556404,1,1,1,F,56,4,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8556404,2,1,1,F,18,3,1,L,G,0,VENTURA,"THOUSAND OAKS",2018
8557067,1,1,3,M,11,4,9,-,-,3,VENTURA,"SANTA PAULA",2018
8558004,1,1,2,F,15,0,3,M,G,0,VENTURA,OXNARD,2018
8558004,2,1,4,M,27,4,9,P,-,0,VENTURA,OXNARD,2018
8560225,1,1,1,M,33,3,1,M,L,0,VENTURA,VENTURA,2018
8560244,1,1,3,M,86,4,9,-,-,3,VENTURA,"SIMI VALLEY",2018
8560248,2,1,1,F,19,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8560248,2,2,2,-,17,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8560252,1,1,2,F,24,0,3,L,G,0,VENTURA,"SIMI VALLEY",2018
8560252,2,1,1,F,55,3,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8560744,1,1,1,F,67,4,1,M,E,0,VENTURA,"THOUSAND OAKS",2018
8565953,1,1,1,M,23,3,1,L,B,3,VENTURA,CAMARILLO,2018
8568910,1,1,1,M,53,3,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8568922,1,1,1,M,18,3,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8568922,1,2,2,F,16,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8568922,3,1,1,M,52,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8568922,4,1,2,M,81,0,6,M,G,0,VENTURA,"SIMI VALLEY",2018
8568922,4,2,2,M,81,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8568934,2,1,1,M,68,4,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8568934,2,2,2,M,66,0,3,L,G,0,VENTURA,"SIMI VALLEY",2018
8568946,2,1,1,F,55,3,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8568946,2,2,2,F,33,4,3,L,G,0,VENTURA,"SIMI VALLEY",2018
8575202,2,1,1,F,34,4,1,L,G,0,VENTURA,MOORPARK,2018
8575206,1,1,1,F,18,4,1,M,G,0,VENTURA,MOORPARK,2018
8575206,2,1,1,F,47,4,1,M,G,0,VENTURA,MOORPARK,2018
8575293,2,1,1,F,16,3,1,L,G,0,VENTURA,MOORPARK,2018
8593900,2,1,3,M,30,2,9,-,P,1,VENTURA,OXNARD,2018
8596963,2,1,1,M,75,3,1,P,-,0,VENTURA,OXNARD,2018
8596964,1,1,4,M,23,3,9,P,V,0,VENTURA,OXNARD,2018
8596967,2,1,1,M,20,4,1,-,-,0,VENTURA,OXNARD,2018
8596971,1,1,2,F,25,3,6,N,F,0,VENTURA,OXNARD,2018
8596971,2,1,2,F,26,4,4,M,F,0,VENTURA,OXNARD,2018
8596979,1,1,1,M,43,3,1,M,G,0,VENTURA,OXNARD,2018
8596983,1,1,1,M,29,4,1,M,G,0,VENTURA,OXNARD,2018
8596995,1,1,2,M,8,0,2,L,G,0,VENTURA,OXNARD,2018
8596995,2,1,2,F,23,3,3,M,G,0,VENTURA,OXNARD,2018
8596995,2,2,2,F,19,0,2,M,G,0,VENTURA,OXNARD,2018
8597007,2,1,1,M,68,4,1,M,G,0,VENTURA,OXNARD,2018
8597011,2,1,2,F,6,4,6,M,Q,0,VENTURA,OXNARD,2018
8597011,2,2,2,M,12,4,4,M,G,0,VENTURA,OXNARD,2018
8597011,2,3,1,F,32,4,1,M,G,0,VENTURA,OXNARD,2018
8597015,2,1,4,M,18,3,9,P,V,1,VENTURA,OXNARD,2018
8597019,2,1,1,M,34,4,1,M,G,0,VENTURA,OXNARD,2018
8597026,1,1,2,F,32,0,3,L,G,0,VENTURA,OXNARD,2018
8597026,1,2,2,M,24,0,4,L,G,0,VENTURA,OXNARD,2018
8597026,2,1,1,M,29,4,1,L,H,0,VENTURA,OXNARD,2018
8597038,1,1,4,-,60,3,1,P,V,0,VENTURA,OXNARD,2018
8597039,1,1,1,M,45,4,1,L,G,0,VENTURA,OXNARD,2018
8597039,1,2,2,M,21,4,3,L,G,0,VENTURA,OXNARD,2018
8599128,1,1,2,F,25,3,3,L,G,0,VENTURA,OXNARD,2018
8599128,2,1,1,M,19,3,1,L,G,0,VENTURA,OXNARD,2018
8599132,2,1,1,F,49,4,1,M,G,0,VENTURA,OXNARD,2018
8599136,2,1,1,M,31,2,1,L,G,0,VENTURA,OXNARD,2018
8599140,1,1,4,M,16,3,9,P,V,0,VENTURA,OXNARD,2018
8599144,2,1,3,M,18,3,9,P,V,1,VENTURA,OXNARD,2018
8599148,1,1,1,M,30,4,1,M,G,0,VENTURA,OXNARD,2018
8599148,2,1,1,F,45,4,1,M,G,0,VENTURA,OXNARD,2018
8599148,2,2,2,M,23,4,3,M,G,0,VENTURA,OXNARD,2018
8599148,2,3,2,M,11,0,2,M,G,0,VENTURA,OXNARD,2018
8599148,2,4,2,M,57,0,5,M,G,0,VENTURA,OXNARD,2018
8599148,2,5,2,M,33,0,6,M,G,0,VENTURA,OXNARD,2018
8599152,1,1,2,M,81,0,1,M,G,0,VENTURA,OXNARD,2018
8599152,2,1,1,M,20,4,1,M,G,0,VENTURA,OXNARD,2018
8599156,1,1,2,F,34,0,3,M,G,0,VENTURA,OXNARD,2018
8599156,2,1,1,F,29,4,1,M,G,0,VENTURA,OXNARD,2018
8599156,2,2,2,F,9,4,3,M,G,0,VENTURA,OXNARD,2018
8599160,2,1,2,F,56,4,3,M,G,0,VENTURA,OXNARD,2018
8599164,1,1,1,M,48,4,1,L,G,0,VENTURA,OXNARD,2018
8599164,2,1,1,M,54,4,1,M,G,0,VENTURA,OXNARD,2018
8599164,2,2,2,F,30,4,3,L,G,0,VENTURA,OXNARD,2018
8599168,1,1,2,F,17,0,5,M,H,0,VENTURA,OXNARD,2018
8599168,1,2,2,F,12,4,5,M,H,0,VENTURA,OXNARD,2018
8599168,1,3,2,M,15,0,4,M,G,0,VENTURA,OXNARD,2018
8599168,1,4,2,F,16,4,6,M,G,0,VENTURA,OXNARD,2018
8599168,1,5,2,M,19,0,3,M,G,0,VENTURA,OXNARD,2018
8599172,2,1,2,F,57,3,3,M,G,0,VENTURA,OXNARD,2018
8599176,2,1,1,M,46,4,1,M,G,0,VENTURA,OXNARD,2018
8599180,1,1,2,M,19,0,3,M,G,0,VENTURA,OXNARD,2018
8599180,2,1,2,M,5,0,6,P,Q,0,VENTURA,OXNARD,2018
8599180,2,2,2,M,3,0,4,P,Q,0,VENTURA,OXNARD,2018
8599180,2,3,2,M,25,0,3,M,-,0,VENTURA,OXNARD,2018
8599180,2,4,1,F,24,4,1,M,G,0,VENTURA,OXNARD,2018
8599184,2,1,3,F,22,4,9,P,-,0,VENTURA,OXNARD,2018
8599184,3,1,3,F,15,4,9,P,-,0,VENTURA,OXNARD,2018
8599188,1,1,1,M,24,3,1,L,B,0,VENTURA,OXNARD,2018
8599192,1,1,1,M,22,2,1,M,G,0,VENTURA,OXNARD,2018
8599196,2,1,1,F,53,4,1,M,G,0,VENTURA,OXNARD,2018
8599200,2,1,3,M,76,3,9,P,-,0,VENTURA,OXNARD,2018
8599398,2,1,3,F,60,2,9,-,-,0,VENTURA,OXNARD,2018
8599402,2,1,1,M,81,4,1,M,G,0,VENTURA,OXNARD,2018
8599406,1,1,1,M,60,3,3,L,G,0,VENTURA,OXNARD,2018
8599406,2,1,1,F,12,3,1,M,G,0,VENTURA,OXNARD,2018
8599406,3,1,1,F,46,4,1,M,G,0,VENTURA,OXNARD,2018
8599410,2,1,1,F,58,4,1,M,G,0,VENTURA,OXNARD,2018
